"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDFG","WSFG"
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2014-02-07","0.00","0.0","9.1",,"14","3",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2014-02-08","0.02","0.2","8.7",,"14","0",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2014-02-09","0.09","1.0","8.7",,"17","3",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2014-02-10","0.00","0.0","9.1",,"20","8",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2014-02-11","0.00","0.0","7.9",,"14","1",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2014-02-12","0.00","0.0","7.1",,"19","-6",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2014-02-13","0.00","0.0","7.1",,"27","5",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2014-02-14","0.01","0.1","6.7",,"31","19",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2014-02-15","0.00","0.0","6.7",,"25","7",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2014-02-16","0.02","0.2","6.3",,"18","4",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2014-02-17","0.05","0.5","6.3",,"26","1",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2014-02-18","0.17","1.7","7.9",,"30","24",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2014-02-19","0.01","0.0","7.9",,"42","21",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2014-02-20","0.59","1.3","5.5",,"36","27",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2014-02-21","0.22","0.0","3.9",,"40","31",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2014-02-22","0.00","0.0","3.1",,"36","28",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2014-02-23","0.00","0.0","2.8",,"30","20",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2014-02-24","0.00","0.0","2.8",,"21","13",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2014-02-25","0.00","0.0","2.8",,"19","11",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2014-02-26","0.00","0.0","2.8",,"14","4",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2014-02-27","0.01","0.1","2.8",,"15","1",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2014-02-28","0.00","0.0","2.8",,"17","-4",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2014-03-01","0.15","1.7","2.8",,"27","11",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2014-03-02","0.06","0.7","5.1",,"14","0",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2014-03-03","0.00","0.0","4.7",,"10","-3",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2014-03-04","0.04","0.8","4.7",,"16","0",,
